=== Parametry symulacji ===
Liczba kanalów: 14
Dlugosc kolejki: 8
Lambda: 1.0
N (srednia dlugosci rozmowy): 20.0
Sigma: 5.0
Min: 10
Maks: 30
Czas symulacji: 60

=== Wyniki ===
Czas      Rho            Q              W              
-------------------------------------------------------
1         0.071429       0.000000       0.000000       
2         0.142857       0.000000       0.000000       
3         0.285714       0.000000       0.000000       
4         0.428571       0.000000       0.000000       
5         0.571429       0.000000       0.000000       
6         0.714286       0.000000       0.000000       
7         0.785714       0.000000       0.000000       
8         0.857143       0.000000       0.000000       
9         0.928571       0.000000       0.000000       
10        1.000000       0.000000       0.000000       
11        1.000000       1.000000       0.000000       
12        1.000000       2.000000       0.000000       
13        1.000000       3.000000       0.000000       
14        1.000000       4.000000       0.000000       
15        1.000000       3.000000       3.500000       
16        1.000000       4.000000       3.500000       
17        1.000000       5.000000       3.500000       
18        1.000000       6.000000       3.500000       
19        1.000000       6.000000       4.333333       
20        1.000000       7.000000       4.333333       
21        1.000000       6.000000       5.200000       
22        1.000000       8.000000       5.200000       
23        1.000000       8.000000       5.200000       
24        1.000000       8.000000       5.200000       
25        1.000000       7.000000       6.142857       
26        1.000000       8.000000       6.142857       
27        1.000000       6.000000       6.700000       
28        1.000000       7.000000       6.700000       
29        1.000000       7.000000       6.818182       
30        1.000000       8.000000       6.818182       
31        1.000000       8.000000       7.000000       
32        1.000000       8.000000       7.230769       
33        1.000000       8.000000       7.285714       
34        1.000000       8.000000       7.333333       
35        1.000000       8.000000       7.333333       
36        1.000000       8.000000       7.437500       
37        1.000000       8.000000       7.437500       
38        1.000000       8.000000       7.437500       
39        1.000000       8.000000       7.437500       
40        1.000000       8.000000       7.705882       
41        1.000000       8.000000       7.944444       
42        1.000000       8.000000       7.944444       
43        1.000000       6.000000       8.523810       
44        1.000000       7.000000       8.523810       
45        1.000000       7.000000       8.681818       
46        1.000000       7.000000       8.826087       
47        1.000000       8.000000       8.826087       
48        1.000000       8.000000       8.958333       
49        1.000000       8.000000       8.958333       
50        1.000000       8.000000       9.000000       
51        1.000000       8.000000       9.038462       
52        1.000000       8.000000       9.038462       
53        1.000000       8.000000       9.038462       
54        1.000000       8.000000       9.038462       
55        1.000000       8.000000       9.038462       
56        1.000000       8.000000       9.038462       
57        1.000000       8.000000       9.222222       
58        1.000000       8.000000       9.222222       
59        1.000000       7.000000       9.428571       
60        1.000000       4.000000       9.870968       
