=== Parametry symulacji ===
Liczba kanalów: 10
Dlugosc kolejki: 10
Lambda: 1.0
N (srednia dlugosci rozmowy): 20.0
Sigma: 5.0
Min: 10
Maks: 30
Czas symulacji: 60

=== Wyniki ===
Czas      Rho            Q              W              
-------------------------------------------------------
1         0.300000       0.000000       0.000000       
2         0.600000       0.000000       0.000000       
3         0.800000       0.000000       0.000000       
4         0.900000       0.000000       0.000000       
5         1.000000       1.000000       0.000000       
6         1.000000       2.000000       0.000000       
7         1.000000       3.000000       0.000000       
8         1.000000       4.000000       0.000000       
9         1.000000       6.000000       0.000000       
10        1.000000       7.000000       0.000000       
11        1.000000       9.000000       0.000000       
12        1.000000       10.000000      0.000000       
13        1.000000       10.000000      0.000000       
14        1.000000       10.000000      0.000000       
15        1.000000       10.000000      0.000000       
16        1.000000       10.000000      0.000000       
17        1.000000       10.000000      0.000000       
18        1.000000       10.000000      0.000000       
19        1.000000       10.000000      0.000000       
20        1.000000       10.000000      0.000000       
21        1.000000       9.000000       15.500000      
22        1.000000       10.000000      15.500000      
23        1.000000       10.000000      15.666667      
24        1.000000       9.000000       15.600000      
25        1.000000       9.000000       15.666667      
26        1.000000       9.000000       15.714286      
27        1.000000       10.000000      15.714286      
28        1.000000       9.000000       16.000000      
29        1.000000       9.000000       16.100000      
30        1.000000       10.000000      16.100000      
31        1.000000       10.000000      16.100000      
32        1.000000       10.000000      16.100000      
33        1.000000       10.000000      16.100000      
34        1.000000       10.000000      16.100000      
35        1.000000       10.000000      16.100000      
36        1.000000       10.000000      16.100000      
37        1.000000       10.000000      16.100000      
38        1.000000       10.000000      16.100000      
39        1.000000       10.000000      16.272727      
40        1.000000       10.000000      16.272727      
41        1.000000       9.000000       16.615385      
42        1.000000       10.000000      16.615385      
43        1.000000       10.000000      16.615385      
44        1.000000       10.000000      16.857143      
45        1.000000       10.000000      17.066667      
46        1.000000       10.000000      17.066667      
47        1.000000       10.000000      17.312500      
48        1.000000       10.000000      17.529412      
49        1.000000       10.000000      17.722222      
50        1.000000       10.000000      17.722222      
51        1.000000       10.000000      17.947368      
52        1.000000       10.000000      17.947368      
53        1.000000       10.000000      17.947368      
54        1.000000       9.000000       18.095238      
55        1.000000       10.000000      18.095238      
56        1.000000       10.000000      18.095238      
57        1.000000       10.000000      18.095238      
58        1.000000       10.000000      18.045455      
59        1.000000       10.000000      18.000000      
60        1.000000       10.000000      18.000000      
